班级,entry_std,exit_std,std_change,student_rate,count,rate_method1,rate_method2
七年级10班,469.31541979043584,471.1332285087112,1.817808718275312,0.025128805612122385,47,0.0038733198220657146,0.025128805612122385
七年级11班,476.34185480457063,463.8714067877933,-12.470448016777219,-0.011074388979091274,49,-0.026179618463075385,-0.011074388979091274
七年级12班,497.56409241314293,531.3856729602505,33.82158054710756,0.09062532618476311,49,0.06797431941496392,0.09062532618476311
七年级13班,500.4583356403364,466.07342019682864,-34.384915443507765,-0.05086767488862064,46,-0.06870684929148446,-0.05086767488862064
七年级14班,472.82389994919276,468.1414401212965,-4.682459827896231,0.01787312126083875,48,-0.009903179235227757,0.01787312126083875
七年级15班,491.5133981434483,509.15151829558016,17.638120152131865,0.06093966607604902,46,0.03588532930893613,0.06093966607604902
七年级16班,476.9558151456115,430.1661890004524,-46.789626145159104,-0.07426999169726513,47,-0.09810054654826787,-0.07426999169726513
七年级17班,526.1275956692849,521.2940724422508,-4.833523227034109,0.005642674050432114,48,-0.009186979103206705,0.005642674050432114
七年级18班,541.2624760516727,531.0353575521048,-10.227118499567949,-0.005398765654389798,47,-0.018894933515752527,-0.005398765654389798
七年级1班,482.08055496491176,508.2926684908831,26.212113525971354,0.07196858857581583,46,0.05437289111957481,0.07196858857581583
七年级2班,533.1412398429812,536.7157000757144,3.5744602327330584,0.022649612794064817,48,0.0067045277416278685,0.022649612794064817
七年级3班,500.0991828469007,530.7376534088099,30.638470561909216,0.09199558766716304,48,0.061264788291583404,0.09199558766716304
七年级4班,497.5309015504457,510.6884074197749,13.157505869329132,0.04173130887325493,46,0.02644560534496788,0.04173130887325493
七年级5班,502.9078213073878,480.30228287954407,-22.605538427843662,-0.031315796305328235,49,-0.044949665664528904,-0.031315796305328235
七年级6班,533.4434149887868,525.7842379289718,-7.659177059814958,0.003598789369682279,49,-0.014357993452737559,0.003598789369682279
七年级7班,506.41941458074865,513.0537037669749,6.634289186226244,0.044731825387951576,49,0.013100384770434957,0.044731825387951576
七年级8班,493.3972561920353,509.85780925339026,16.4605530613549,0.052367016745975103,48,0.03336166315231465,0.052367016745975103
七年级9班,496.82614889917573,490.36417881783245,-6.461970081343353,0.011665621050077289,48,-0.013006501561282862,0.011665621050077289
