班级,entry_std,exit_std,student_rate,count,rate
七年级10班,467.98386675874576,452.42306453812256,-0.02982743448086558,44,-2.982743448086558
七年级11班,479.3158130000355,492.10554676917144,0.031013597326974396,42,3.1013597326974396
七年级12班,500.72060034469405,527.6858168262568,0.07172811978529087,48,7.1728119785290865
七年级13班,499.21581615547126,476.4812158899217,-0.044319975559103095,41,-4.43199755591031
七年级14班,469.91858928774644,489.46486724750565,0.050748603091030034,41,5.074860309103004
七年级15班,488.0723169137595,515.5388264634204,0.06512119134176617,44,6.512119134176617
七年级16班,475.3163025619333,495.1147339615784,0.05727672242635333,34,5.727672242635333
七年级17班,531.2128421630438,522.9220840839619,-0.0030741350972999766,46,-0.30741350972999765
七年级18班,541.199491055306,528.8002385803961,-0.014262556216533164,47,-1.4262556216533164
七年级1班,477.54770791274217,478.0371905142925,0.006186626335817999,47,0.6186626335818
七年级2班,532.3556169349613,525.3475211814108,-0.0035187439008156542,48,-0.3518743900815654
七年级3班,498.9893307800525,516.127955496018,0.04925166417989188,48,4.925166417989188
七年级4班,496.3958479144433,485.20726339740213,-0.018568216492177443,46,-1.8568216492177443
七年级5班,503.6220165320774,466.25922594341523,-0.09820829301322313,46,-9.820829301322313
七年级6班,529.7871764009574,529.6872273234867,0.00811427187043486,47,0.811427187043486
七年级7班,500.87798848693416,498.82456772415753,0.008434612059553842,48,0.8434612059553842
七年级8班,497.8876137843716,494.9496777984127,0.005289726831907173,48,0.5289726831907173
七年级9班,493.3948977240623,494.18441740555403,0.014407786181230304,44,1.4407786181230304
